AUTHOR,BORN-DIED,TITLE,TECHNIQUE,LOCATION,URL,TYPE,FORM,SCHOOL,TIMEFRAME,,
"ARCHITECT, Spanish",(active 1748-1471 in Aranjuez),Exterior view,Photo,"Royal Palace, Aranjuez",http://www.wga.hu/art/zzzarchi/18c/5/04s_1701.jpg,architecture,other,Spanish,1701-1750,,
"ARCHITECT, Spanish",(active 1761-1785 in Madrid),Exterior view,Photo,"San Francisco el Grande, Madrid",http://www.wga.hu/art/zzzarchi/18c/5/05s_1751.jpg,architecture,other,Spanish,1751-1800,,
"ARCHITECT, Swiss",(active 1680-1689 in Solothurn),Interior view,Photo,"Jesuit church, Solothurn",http://www.wga.hu/art/zzzarchi/17c/6/07s_1651.jpg,architecture,interior,Swiss,1651-1700,,
"ARCHITECT, Swiss",(active 1666-1669 in Lucerne),Exterior view,Photo,"Jesuit church, Lucerne",http://www.wga.hu/art/zzzarchi/17c/6/07s_1652.jpg,architecture,other,Swiss,1651-1700,,
"ARCHITECT, Swiss",(active 1666-1669 in Lucerne),Interior view,Photo,"Jesuit church, Lucerne",http://www.wga.hu/art/zzzarchi/17c/6/07s_1653.jpg,architecture,interior,Swiss,1651-1700,,
"ARSON, Alphonse-Alexandre","(b. 1822, Paris, d. 1880, Paris)",Rabbit Family,"Sand cast bronze, 10 x 8 cm",Private collection,http://www.wga.hu/art/a/arson/rabbit.jpg,sculpture,other,French,1851-1900,,
"ASAM, Cosmas Damian","(b. 1686, Benedikternbeuern, d. 1739, Weltenburg)",Interior view,Photo,"St. John Nepomuk church, Munich",http://www.wga.hu/art/a/asam/cosmas/nepomuk.jpg,architecture,interior,German,1701-1750,,
"ASAM, Cosmas Damian","(b. 1686, Benedikternbeuern, d. 1739, Weltenburg)",Ceiling fresco,Fresco,"Basilica of St. Martin and Oswald, Weingarten",http://www.wga.hu/art/a/asam/cosmas/weingart.jpg,painting,religious,German,1701-1750,,
"ASAM, Egid Quirin","(b. 1692, Tegernsee, d. 1750, Mannheim)",Exterior view,Photo,"St. John Nepomuk church, Munich",http://www.wga.hu/art/a/asam/egid/nepomuk.jpg,architecture,other,German,1701-1750,,
"ASSELYN, Jan","(b. ca. 1610, Dieppe, d. 1652, Amsterdam)",Italianate Landscape with Peasants and Animals Fording a River,"Oil on oak panel, 41 x 49 cm",Private collection,http://www.wga.hu/art/a/asselyn/italianb.jpg,painting,landscape,Dutch,1601-1650,,
